state_ansi	county_ansi	state_alpha	county_name	commodity	value
12	101	FL	PASCO	HAY	16,696
17	099	IL	LA SALLE	HAY	(D)
29	063	MO	DE KALB	HAY	(D)
22	045	LA	IBERIA	HAY	1,899
18	025	IN	CRAWFORD	HAY	18
39	007	OH	ASHTABULA	HAY	12,333
47	091	TN	JOHNSON	HAY	249
40	137	OK	STEPHENS	HAY	24,121
13	163	GA	JEFFERSON	HAY	146
48	487	TX	WILBARGER	HAY	3,131
40	025	OK	CIMARRON	HAY	15,258
16	077	ID	POWER	SOD	(D)
37	013	NC	BEAUFORT	HAY	249
21	059	KY	DAVIESS	HAY	6
19	073	IA	GREENE	HAY	4,228
20	183	KS	SMITH	HAY	4,837
55	133	WI	WAUKESHA	HAY	5,838
21	067	KY	FAYETTE	HAY	15,981
20	159	KS	RICE	HAY	17,911
31	151	NE	SALINE	HAY	3,802
01	029	AL	CLEBURNE	HAY	(D)
01	095	AL	MARSHALL	HAY	125
20	105	KS	LINCOLN	HAY	7,700
48	067	TX	CASS	HAY	(D)
22	005	LA	ASCENSION	HAY	2,194
55	081	WI	MONROE	HAY	9
48	233	TX	HUTCHINSON	HAY	4,223
18	157	IN	TIPPECANOE	HAY	(D)
41	019	OR	DOUGLAS	HAY	289
38	075	ND	RENVILLE	HAY	5,570
17	061	IL	GREENE	HAY	3,059
48	381	TX	RANDALL	HAY	7,864
35	043	NM	SANDOVAL	HAY	(D)
08	051	CO	GUNNISON	HAY	32,264
19	131	IA	MITCHELL	HAY	3,757
48	277	TX	LAMAR	HAY	1,233
20	197	KS	WABAUNSEE	HAY	(D)
06	089	CA	SHASTA	HAY	9,497
01	033	AL	COLBERT	HAY	90
20	021	KS	CHEROKEE	HAY	926
56	029	WY	PARK	HAY	(D)
55	055	WI	JEFFERSON	HAY	1,507
08	001	CO	ADAMS	HAY	5,773
20	009	KS	BARTON	HAY	39,343
20	119	KS	MEADE	HAY	6,450
47	023	TN	CHESTER	HAY	5,746
17	167	IL	SANGAMON	HAY	(D)
40	153	OK	WOODWARD	HAY	1,467
21	109	KY	JACKSON	HAY	22
47	175	TN	VAN BUREN	HAY	6,553
20	153	KS	RAWLINS	HAY	1,750
39	097	OH	MADISON	HAY	82
05	097	AR	MONTGOMERY	HAY	50
47	097	TN	LAUDERDALE	HAY	(D)
13	157	GA	JACKSON	HAY	814
20	001	KS	ALLEN	HAY	1,107
18	127	IN	PORTER	HAY	660
35	033	NM	MORA	GRASSES & LEGUMES TOTALS	(D)
01	051	AL	ELMORE	HAY	4,581
20	185	KS	STAFFORD	HAY	5,254
53	025	WA	GRANT	HAY	115,997
38	059	ND	MORTON	HAY	2,114
46	067	SD	HUTCHINSON	HAY	5,432
47	181	TN	WAYNE	HAY	(D)
39	001	OH	ADAMS	HAY	(D)
49	011	UT	DAVIS	HAY	1,728
06	073	CA	SAN DIEGO	HAY	1,123
53	037	WA	KITTITAS	HAY	23,969
47	147	TN	ROBERTSON	HAY	(D)
01	125	AL	TUSCALOOSA	HAY	5,465
41	057	OR	TILLAMOOK	HAY	1,282
38	105	ND	WILLIAMS	HAY	12,632
19	151	IA	POCAHONTAS	HAY	1,411
48	147	TX	FANNIN	HAY	1,031
05	039	AR	DALLAS	HAY	2,171
40	011	OK	BLAINE	HAY	137
26	139	MI	OTTAWA	HAY	(D)
46	019	SD	BUTTE	HAY	27,124
38	003	ND	BARNES	HAY	17,286
38	019	ND	CAVALIER	HAY	945
26	025	MI	CALHOUN	HAY	1,568
19	101	IA	JEFFERSON	HAY	9,045
13	209	GA	MONTGOMERY	HAY	36
55	051	WI	IRON	HAY	1,640
10	005	DE	SUSSEX	HAY	101
40	077	OK	LATIMER	HAY	19,973
31	077	NE	GREELEY	HAY	(D)
31	067	NE	GAGE	SOD	(D)
47	155	TN	SEVIER	HAY	10,143
40	063	OK	HUGHES	HAY	1,181
55	107	WI	RUSK	HAY	9,692
56	045	WY	WESTON	HAY	1,359
36	113	NY	WARREN	HAY	(D)
47	041	TN	DE KALB	HAY	125
13	137	GA	HABERSHAM	HAY	4,076
48	165	TX	GAINES	HAY	29,374
46	105	SD	PERKINS	HAY	164,695
56	003	WY	BIG HORN	GRASSES & LEGUMES TOTALS	1,120
45	011	SC	BARNWELL	HAY	3,247
48	185	TX	GRIMES	HAY	36,388
08	077	CO	MESA	HAY	23,207
05	117	AR	PRAIRIE	HAY	(D)
48	077	TX	CLAY	HAY	496
13	147	GA	HART	HAY	7,718
05	107	AR	PHILLIPS	HAY	2,625
30	081	MT	RAVALLI	HAY	13,125
31	025	NE	CASS	GRASSES & LEGUMES TOTALS	(D)
28	003	MS	ALCORN	HAY	8,297
01	109	AL	PIKE	HAY	299
45	053	SC	JASPER	SOD	(D)
08	107	CO	ROUTT	HAY	41,929
29	203	MO	SHANNON	HAY	14,054
31	083	NE	HARLAN	HAY	3,280
48	311	TX	MCMULLEN	HAY	1,320
13	279	GA	TOOMBS	HAY	(D)
40	095	OK	MARSHALL	HAY	11,254
56	015	WY	GOSHEN	SOD	(D)
48	129	TX	DONLEY	HAY	7,800
01	115	AL	SAINT CLAIR	HAY	12,320
47	077	TN	HENDERSON	HAY	12,361
53	015	WA	COWLITZ	HAY	4,151
19	121	IA	MADISON	HAY	20,275
24	043	MD	WASHINGTON	HAY	3
06	047	CA	MERCED	SOD	(D)
13	233	GA	POLK	HAY	7,701
47	079	TN	HENRY	HAY	85
39	089	OH	LICKING	HAY	11,496
28	049	MS	HINDS	HAY	10,830
39	041	OH	DELAWARE	HAY	2,879
26	033	MI	CHIPPEWA	SOD	(D)
48	299	TX	LLANO	HAY	3,769
40	131	OK	ROGERS	HAY	642
47	111	TN	MACON	HAY	20,599
12	127	FL	VOLUSIA	HAY	79
29	047	MO	CLAY	HAY	111
08	105	CO	RIO GRANDE	HAY	38,979
27	005	MN	BECKER	HAY	30,629
47	131	TN	OBION	HAY	(D)
49	027	UT	MILLARD	GRASSES & LEGUMES TOTALS	265
21	199	KY	PULASKI	HAY	3,347
31	053	NE	DODGE	HAY	5,121
38	095	ND	TOWNER	HAY	2,044
48	323	TX	MAVERICK	HAY	4,799
46	049	SD	FAULK	HAY	40,197
51	163	VA	ROCKBRIDGE	HAY	19,611
20	169	KS	SALINE	HAY	22,615
20	035	KS	COWLEY	HAY	25,012
49	041	UT	SEVIER	GRASSES & LEGUMES TOTALS	(D)
26	011	MI	ARENAC	HAY	4,405
30	089	MT	SANDERS	HAY	8,103
40	139	OK	TEXAS	HAY	20,253
17	181	IL	UNION	HAY	11,407
13	225	GA	PEACH	HAY	833
12	123	FL	TAYLOR	HAY	1,016
13	273	GA	TERRELL	HAY	(D)
44	001	RI	BRISTOL	HAY	(D)
29	015	MO	BENTON	HAY	78
23	005	ME	CUMBERLAND	HAY	127
48	431	TX	STERLING	HAY	1,236
18	027	IN	DAVIESS	HAY	2,358
20	157	KS	REPUBLIC	HAY	2,395
30	009	MT	CARBON	GRASSES & LEGUMES TOTALS	221
29	195	MO	SALINE	HAY	13,702
05	105	AR	PERRY	HAY	448
05	101	AR	NEWTON	HAY	9,270
48	245	TX	JEFFERSON	HAY	555
54	035	WV	JACKSON	HAY	962
17	147	IL	PIATT	HAY	923
48	217	TX	HILL	HAY	40,512
20	115	KS	MARION	HAY	(D)
45	031	SC	DARLINGTON	HAY	56
01	057	AL	FAYETTE	HAY	254
06	025	CA	IMPERIAL	HAY	422,668
01	041	AL	CRENSHAW	HAY	11,927
29	009	MO	BARRY	GRASSES & LEGUMES TOTALS	1,253
20	101	KS	LANE	GRASSES & LEGUMES TOTALS	1,890
51	019	VA	BEDFORD	HAY	2,889
31	179	NE	WAYNE	HAY	465
27	079	MN	LE SUEUR	HAY	(D)
45	091	SC	YORK	HAY	(D)
48	021	TX	BASTROP	HAY	573
06	105	CA	TRINITY	HAY	615
24	013	MD	CARROLL	HAY	469
21	005	KY	ANDERSON	HAY	27
55	115	WI	SHAWANO	HAY	2,741
17	191	IL	WAYNE	HAY	6,125
21	031	KY	BUTLER	HAY	382
29	157	MO	PERRY	HAY	1,873
37	131	NC	NORTHAMPTON	HAY	(D)
20	031	KS	COFFEY	HAY	3,988
32	033	NV	WHITE PINE	HAY	3,547
56	043	WY	WASHAKIE	HAY	4,032
47	067	TN	HANCOCK	HAY	9,011
48	071	TX	CHAMBERS	HAY	81
39	059	OH	GUERNSEY	HAY	5,251
48	205	TX	HARTLEY	HAY	25,371
18	005	IN	BARTHOLOMEW	HAY	(D)
29	053	MO	COOPER	GRASSES & LEGUMES TOTALS	540
26	073	MI	ISABELLA	HAY	21,788
27	163	MN	WASHINGTON	HAY	3,578
12	047	FL	HAMILTON	HAY	5,179
48	135	TX	ECTOR	HAY	(D)
24	033	MD	PRINCE GEORGES	HAY	(D)
48	337	TX	MONTAGUE	HAY	756
35	045	NM	SAN JUAN	GRASSES & LEGUMES TOTALS	91
01	039	AL	COVINGTON	HAY	11,615
29	071	MO	FRANKLIN	HAY	38,405
37	007	NC	ANSON	HAY	208
40	133	OK	SEMINOLE	HAY	24,340
36	123	NY	YATES	GRASSES & LEGUMES TOTALS	426
29	031	MO	CAPE GIRARDEAU	HAY	248
37	081	NC	GUILFORD	HAY	11,103
20	165	KS	RUSH	HAY	4,757
29	171	MO	PUTNAM	HAY	4,070
30	103	MT	TREASURE	HAY	4,812
29	057	MO	DADE	HAY	41,360
33	017	NH	STRAFFORD	HAY	3,481
42	013	PA	BLAIR	HAY	(D)
16	081	ID	TETON	HAY	16,033
17	037	IL	DE KALB	HAY	3,850
12	035	FL	FLAGLER	SOD	3,172
26	059	MI	HILLSDALE	HAY	16,648
01	085	AL	LOWNDES	HAY	90
19	115	IA	LOUISA	HAY	(D)
13	321	GA	WORTH	SOD	178
29	103	MO	KNOX	HAY	16,883
49	029	UT	MORGAN	HAY	5,293
17	005	IL	BOND	HAY	1,069
55	135	WI	WAUPACA	GRASSES & LEGUMES TOTALS	(D)
39	125	OH	PAULDING	HAY	54
26	039	MI	CRAWFORD	HAY	(D)
37	181	NC	VANCE	HAY	2,402
13	131	GA	GRADY	HAY	1,352
47	031	TN	COFFEE	HAY	(D)
13	103	GA	EFFINGHAM	HAY	(D)
20	039	KS	DECATUR	HAY	12,379
13	129	GA	GORDON	HAY	140
26	021	MI	BERRIEN	HAY	(D)
10	005	DE	SUSSEX	HAY	(D)
39	013	OH	BELMONT	HAY	25,424
47	049	TN	FENTRESS	HAY	74
17	165	IL	SALINE	HAY	524
31	055	NE	DOUGLAS	HAY	2,108
46	049	SD	FAULK	HAY	23,484
55	047	WI	GREEN LAKE	HAY	1,301
40	045	OK	ELLIS	HAY	16,446
13	249	GA	SCHLEY	HAY	(D)
16	087	ID	WASHINGTON	HAY	4,348
40	101	OK	MUSKOGEE	HAY	1,455
05	115	AR	POPE	HAY	36,369
37	097	NC	IREDELL	HAY	17,993
29	209	MO	STONE	HAY	12,605
54	063	WV	MONROE	HAY	15
40	047	OK	GARFIELD	HAY	(D)
47	089	TN	JEFFERSON	HAY	21,975
48	165	TX	GAINES	HAY	16,705
20	037	KS	CRAWFORD	HAY	24,015
18	035	IN	DELAWARE	HAY	1,869
01	025	AL	CLARKE	HAY	450
54	061	WV	MONONGALIA	HAY	(D)
29	025	MO	CALDWELL	HAY	18
35	013	NM	DONA ANA	HAY	6,971
47	151	TN	SCOTT	HAY	4,652
09	003	CT	HARTFORD	HAY	4,005
48	217	TX	HILL	HAY	642
48	423	TX	SMITH	HAY	966
29	153	MO	OZARK	HAY	(D)
49	013	UT	DUCHESNE	SOD	54
27	047	MN	FREEBORN	SOD	(D)
46	097	SD	MINER	HAY	9,901
19	053	IA	DECATUR	HAY	26,475
29	093	MO	IRON	HAY	1,500
37	163	NC	SAMPSON	SOD	(D)
40	131	OK	ROGERS	HAY	(D)
17	059	IL	GALLATIN	HAY	1,066
